capacity_DC,SiteCity,SiteState,SiteZip_5_digit,FacilityType,dateinservice
3.42,Amherst,Massachusetts,01002,Residential (3 or fewer dwelling units per building),10/21/2005
2.53,Dedham,Massachusetts,02026,Residential (3 or fewer dwelling units per building),9/14/2005
2.64,Amherst,Massachusetts,01002,Residential (3 or fewer dwelling units per building),2/27/2006
30.24,Dedham,Massachusetts,02026,School (K-12),11/14/2007
33.6,Woburn,Massachusetts,01801,School (K-12),9/29/2006
52.8,Newton,Massachusetts,02459,School (K-12),6/8/2006
7.2,Newton,Massachusetts,02459,School (K-12),6/8/2006
49.61,Whitman,Massachusetts,02382,School (K-12),8/11/2005
21.78,Upton,Massachusetts,01568,School (K-12),11/29/2005
21.6,Upton,Massachusetts,01568,School (K-12),11/29/2005
2.5,Barnstable,Massachusetts,02668,College / University,4/14/2006
4.56,Wrentham,Massachusetts,02093,Residential (3 or fewer dwelling units per building),1/2/2006
1.92,Tisbury,Massachusetts,02568,Residential (3 or fewer dwelling units per building),8/19/2005
4.2,Westwood,Massachusetts,02090,Residential (3 or fewer dwelling units per building),5/15/2006
3.08,North Andover,Massachusetts,01845,Residential (3 or fewer dwelling units per building),4/15/2006
2.04,Northampton,Massachusetts,01060,Residential (3 or fewer dwelling units per building),1/5/2006
2.08,Granby,Massachusetts,01033,Residential (3 or fewer dwelling units per building),3/6/2006
3,Orleans,Massachusetts,02643,Residential (3 or fewer dwelling units per building),10/8/2005
2.48,Bourne,Massachusetts,02532,Residential (3 or fewer dwelling units per building),1/18/2006
3.42,Northampton,Massachusetts,01060,Residential (3 or fewer dwelling units per building),11/29/2005
7.78,Essex,Massachusetts,01929,Residential (3 or fewer dwelling units per building),5/18/2006
43.2,Fitchburg,Massachusetts,01420,Industrial,7/15/2005
17.72,Fitchburg,Massachusetts,01420,Industrial,7/15/2005
86.4,Fitchburg,Massachusetts,01420,Industrial,8/15/2005
2.64,Gloucester,Massachusetts,01930,Residential (3 or fewer dwelling units per building),9/16/2005
9.6,Bedford,Massachusetts,01730,Commercial / Office,4/20/2005
2.31,Medford,Massachusetts,02155,Residential (3 or fewer dwelling units per building),8/19/2005
3.42,Northfield,Massachusetts,01360,Residential (3 or fewer dwelling units per building),11/5/2005
3.78,Amherst,Massachusetts,01002,Agricultural,9/25/2005
1.52,West Tisbury,Massachusetts,02575,Commercial / Office,1/2/2006
1.9,Tisbury,Massachusetts,02568,Other,11/2/2005
2.28,West Tisbury,Massachusetts,02575,Residential (3 or fewer dwelling units per building),1/2/2006
2.97,Colrain,Massachusetts,01340,Residential (3 or fewer dwelling units per building),1/30/2006
2.912,Norwell,Massachusetts,02061,Residential (3 or fewer dwelling units per building),6/28/2006
3.24,Chesterfield,Massachusetts,01012,Residential (3 or fewer dwelling units per building),4/8/2006
2.45,Warwick,Massachusetts,01378,Residential (3 or fewer dwelling units per building),5/8/2006
2.912,Marshfield,Massachusetts,02050,Residential (3 or fewer dwelling units per building),5/20/2006
1.9,Huntington,Massachusetts,01050,Residential (3 or fewer dwelling units per building),1/28/2006
4.56,Edgartown,Massachusetts,02539,Residential (3 or fewer dwelling units per building),1/2/2006
3,Falmouth,Massachusetts,02540,Residential (3 or fewer dwelling units per building),12/7/2005
1.08,Shirley,Massachusetts,01464,Residential (3 or fewer dwelling units per building),1/27/2006
2.912,Boston,Massachusetts,02135,Residential (3 or fewer dwelling units per building),11/1/2006
2.912,Sutton,Massachusetts,01590,Residential (3 or fewer dwelling units per building),5/22/2006
11.88,Lawrence,Massachusetts,01843,Industrial,7/18/2005
1.5,Conway,Massachusetts,01341,Residential (3 or fewer dwelling units per building),6/15/2006
3,Warwick,Massachusetts,01364,Residential (3 or fewer dwelling units per building),10/29/2005
2,Falmouth,Massachusetts,02540,Residential (3 or fewer dwelling units per building),2/6/2006
1.2,Stockbridge,Massachusetts,01262,Residential (3 or fewer dwelling units per building),6/14/2006
1.67,Conway,Massachusetts,01341,Residential (3 or fewer dwelling units per building),1/4/2006
9.88,Newton,Massachusetts,02459,Residential (3 or fewer dwelling units per building),4/1/2006
2.99,Harwich,Massachusetts,02645,Residential (3 or fewer dwelling units per building),6/15/2006
2.99,Wellfleet,Massachusetts,02667,Residential (3 or fewer dwelling units per building),6/13/2006
2.912,Marshfield,Massachusetts,02050,Residential (3 or fewer dwelling units per building),12/18/2007
2.912,Bedford,Massachusetts,01730,Residential (3 or fewer dwelling units per building),6/13/2006
2.16,Boston,Massachusetts,02122,School (K-12),12/30/2005
2.16,Boston,Massachusetts,02215,School (K-12),12/30/2005
10,Orange,Massachusetts,01364,Commercial / Office,7/20/2006
3,Falmouth,Massachusetts,02536,Residential (3 or fewer dwelling units per building),12/17/2005
1.725,Chatham,Massachusetts,02659,Residential (3 or fewer dwelling units per building),3/1/2006
2.415,Eastham,Massachusetts,02642,Residential (3 or fewer dwelling units per building),3/15/2006
