capacity_DC,SiteCity,SiteState,SiteZip_5_digit,FacilityType,dateinservice
5,Boston,Massachusetts,02127,See Power Clerk,NULL
5,Framingham,Massachusetts,01701,See Power Clerk,NULL
6.213,Medway,Massachusetts,02053,Residential (3 or fewer dwelling units per building),11/6/2013
9.555,Boston,Massachusetts,02126,See Power Clerk,NULL
6.5,Easthampton,Massachusetts,01027,See Power Clerk,NULL
3.27,Barnstable,Massachusetts,02630,Residential (3 or fewer dwelling units per building),11/21/2013
3.92,Boston,Massachusetts,02132,Commercial / Office,10/22/2013
8.33,Hardwick,Massachusetts,01037,Commercial / Office,10/21/2013
7.848,Barnstable,Massachusetts,02630,Residential (3 or fewer dwelling units per building),11/21/2013
3.92,Westborough,Massachusetts,01581,Commercial / Office,10/29/2013
2.94,Dedham,Massachusetts,02026,Commercial / Office,11/19/2013
4.41,New Bedford,Massachusetts,02745,Commercial / Office,12/3/2013
3.18,Boston,Massachusetts,02135,See Power Clerk,10/30/2013
3.675,Medford,Massachusetts,02155,Residential (3 or fewer dwelling units per building),11/4/2013
5.5,Orange,Massachusetts,01364,Commercial / Office,NULL
6.25,Dartmouth,Massachusetts,02747,Commercial / Office,NULL
9,Agawam,Massachusetts,01001,See Power Clerk,NULL
7.035,Hopedale,Massachusetts,01747,Residential (3 or fewer dwelling units per building),10/30/2013
7.5,Dracut,Massachusetts,01826,See Power Clerk,NULL
4.69,Fairhaven,Massachusetts,02719,Residential (3 or fewer dwelling units per building),NULL
6.03,Lexington,Massachusetts,02420,See Power Clerk,NULL
3,Newton,Massachusetts,02458,See Power Clerk,NULL
6.25,Brookline,Massachusetts,02445,Residential (3 or fewer dwelling units per building),11/19/2013
4.5,Northampton,Massachusetts,01060,See Power Clerk,11/4/2013
5.76,Northfield,Massachusetts,01360,See Power Clerk,NULL
5.25,Bourne,Massachusetts,02559,Residential (3 or fewer dwelling units per building),11/19/2013
6,Chesterfield,Massachusetts,01012,Residential (3 or fewer dwelling units per building),11/15/2013
4.16,Marion,Massachusetts,02738,Residential (3 or fewer dwelling units per building),10/29/2013
7,Lee,Massachusetts,01238,See Power Clerk,10/25/2013
7.95,Yarmouth,Massachusetts,02664,See Power Clerk,NULL
5,Plymouth,Massachusetts,02360,See Power Clerk,NULL
6.36,Kingston,Massachusetts,02364,Residential (3 or fewer dwelling units per building),11/15/2013
4.578,Amherst,Massachusetts,01002,Residential (3 or fewer dwelling units per building),10/24/2013
10,Newton,Massachusetts,02459,See Power Clerk,1/10/2014
9.87,Hubbardston,Massachusetts,01452,See Power Clerk,11/26/2013
3.675,New Bedford,Massachusetts,02740,See Power Clerk,NULL
3.92,Townsend,Massachusetts,01469,Commercial / Office,11/6/2013
10,Northampton,Massachusetts,01060,See Power Clerk,NULL
6.25,Bourne,Massachusetts,02532,Residential (3 or fewer dwelling units per building),11/19/2013
4.355,Cambridge,Massachusetts,02139,See Power Clerk,NULL
4.9,Wareham,Massachusetts,02571,Commercial / Office,12/2/2013
6.86,Hubbardston,Massachusetts,01452,Commercial / Office,11/14/2013
2.34,Williamstown,Massachusetts,01267,See Power Clerk,12/23/2013
4.845,Oak Bluffs,Massachusetts,02557,Residential (3 or fewer dwelling units per building),NULL
2.55,Medway,Massachusetts,02053,Residential (3 or fewer dwelling units per building),NULL
5,Williamstown,Massachusetts,01267,See Power Clerk,NULL
7.25,Carlisle,Massachusetts,01741,Residential (3 or fewer dwelling units per building),11/8/2013
6.213,Medway,Massachusetts,02053,Residential (3 or fewer dwelling units per building),11/14/2013
5,Brookline,Massachusetts,02467,See Power Clerk,NULL
8.58,Ashby,Massachusetts,01431,See Power Clerk,11/25/2013
7.28,Williamstown,Massachusetts,01267,See Power Clerk,1/23/2014
4.8,Chatham,Massachusetts,02633,See Power Clerk,12/6/2013
8,Northampton,Massachusetts,01060,Residential (3 or fewer dwelling units per building),11/15/2013
2.08,Westport,Massachusetts,02790,See Power Clerk,NULL
7.5,Norton,Massachusetts,02766,Commercial / Office,NULL
6.25,Dighton,Massachusetts,02715,See Power Clerk,NULL
5.5,Carver,Massachusetts,02330,See Power Clerk,NULL
5.5,Brewster,Massachusetts,02631,Commercial / Office,NULL
11.39,Williamsburg,Massachusetts,01096,See Power Clerk,11/15/2013
7,Weymouth,Massachusetts,02190,See Power Clerk,NULL
8.829,Warwick,Massachusetts,01378,See Power Clerk,10/29/2013
6,Carlisle,Massachusetts,01741,See Power Clerk,NULL
5.98,Hadley,Massachusetts,01035,Residential (3 or fewer dwelling units per building),10/31/2013
5.52,Tisbury,Massachusetts,02568,See Power Clerk,NULL
10,Norwell,Massachusetts,02061,See Power Clerk,NULL
7.84,Acushnet,Massachusetts,02743,Commercial / Office,11/27/2013
5.61,Clinton,Massachusetts,01510,Residential (3 or fewer dwelling units per building),11/15/2013
2.45,New Bedford,Massachusetts,02746,Commercial / Office,11/7/2013
6.615,Yarmouth,Massachusetts,02664,Commercial / Office,11/12/2013
3.185,Lynn,Massachusetts,01904,See Power Clerk,NULL
8.695,Boston,Massachusetts,02119,See Power Clerk,12/30/2013
8.695,Boston,Massachusetts,02119,See Power Clerk,12/30/2013
8.93,Boston,Massachusetts,02119,See Power Clerk,12/30/2013
7.02,Fairhaven,Massachusetts,02719,See Power Clerk,2/13/2014
5.145,Boston,Massachusetts,02132,Commercial / Office,12/20/2013
5,Kingston,Massachusetts,02364,See Power Clerk,NULL
4.25,Brookline,Massachusetts,02446,Residential (3 or fewer dwelling units per building),11/19/2013
4.68,New Bedford,Massachusetts,02745,See Power Clerk,NULL
4.75,Sudbury,Massachusetts,01776,See Power Clerk,NULL
7.75,Bourne,Massachusetts,02532,Residential (3 or fewer dwelling units per building),NULL
11.73,Leominster,Massachusetts,01453,See Power Clerk,12/31/2013
9.38,Framingham,Massachusetts,01701,See Power Clerk,12/31/2013
2.94,Somerville,Massachusetts,02143,See Power Clerk,NULL
5,Ayer,Massachusetts,01432,See Power Clerk,NULL
7,Newton,Massachusetts,02458,See Power Clerk,NULL
8.04,Plymouth,Massachusetts,02360,Residential (3 or fewer dwelling units per building),NULL
3.43,Boston,Massachusetts,02131,Residential (3 or fewer dwelling units per building),10/9/2013
3.5,Newton,Massachusetts,02460,Residential (3 or fewer dwelling units per building),11/25/2013
3.924,Medford,Massachusetts,02155,Residential (3 or fewer dwelling units per building),NULL
3.975,Sunderland,Massachusetts,01375,See Power Clerk,NULL
7.84,Topsfield,Massachusetts,01983,Residential (3 or fewer dwelling units per building),10/28/2013
10,Belchertown,Massachusetts,01007,Commercial / Office,11/18/2013
3.43,Dedham,Massachusetts,02026,See Power Clerk,11/26/2013
10,Newton,Massachusetts,02458,See Power Clerk,NULL
4.5,Carlisle,Massachusetts,01741,See Power Clerk,NULL
7,Boston,Massachusetts,02124,Commercial / Office,12/10/2013
3,Brookline,Massachusetts,02446,See Power Clerk,NULL
6,Brookline,Massachusetts,02467,See Power Clerk,NULL
6.5,Northampton,Massachusetts,01062,Residential (3 or fewer dwelling units per building),11/12/2013
4.5,Newton,Massachusetts,02465,See Power Clerk,NULL
9.66,Hadley,Massachusetts,01035,Residential (3 or fewer dwelling units per building),10/24/2013
2.45,Boston,Massachusetts,02124,Commercial / Office,10/29/2013
5.2,Williamstown,Massachusetts,01267,See Power Clerk,NULL
5,Plymouth,Massachusetts,02360,See Power Clerk,NULL
5.5,Williamstown,Massachusetts,01267,See Power Clerk,NULL
3.92,Medford,Massachusetts,02155,See Power Clerk,NULL
4.5,Williamstown,Massachusetts,01267,See Power Clerk,NULL
6,Northampton,Massachusetts,01060,Residential (3 or fewer dwelling units per building),11/22/2013
6,Northampton,Massachusetts,01062,Residential (3 or fewer dwelling units per building),NULL
5.2,Williamstown,Massachusetts,01267,See Power Clerk,NULL
7.5,Williamstown,Massachusetts,01267,See Power Clerk,NULL
6.5,Williamstown,Massachusetts,01267,See Power Clerk,NULL
2,Williamstown,Massachusetts,01267,See Power Clerk,NULL
11.25,Lee,Massachusetts,01238,See Power Clerk,NULL
5.2,Harwich,Massachusetts,02645,See Power Clerk,NULL
3,Williamstown,Massachusetts,01267,See Power Clerk,NULL
8.75,Lee,Massachusetts,01238,See Power Clerk,NULL
7.5,Williamstown,Massachusetts,01267,See Power Clerk,NULL
5.232,Medford,Massachusetts,02155,Residential (3 or fewer dwelling units per building),11/22/2013
4.578,Bourne,Massachusetts,02532,See Power Clerk,NULL
14.88,Rehoboth,Massachusetts,02769,Residential (3 or fewer dwelling units per building),11/19/2013
3.43,Medford,Massachusetts,02155,See Power Clerk,NULL
10.8,Douglas,Massachusetts,01516,See Power Clerk,NULL
4,Dennis,Massachusetts,02638,See Power Clerk,NULL
5,Barnstable,Massachusetts,02630,See Power Clerk,NULL
2,Yarmouth,Massachusetts,02673,See Power Clerk,NULL
6,Quincy,Massachusetts,02170,See Power Clerk,NULL
4.25,Randolph,Massachusetts,02368,Commercial / Office,10/29/2013
4.32,Lexington,Massachusetts,02421,Residential (3 or fewer dwelling units per building),7/23/2013
2.88,Saugus,Massachusetts,01906,Residential (3 or fewer dwelling units per building),7/31/2013
9.6,Tewksbury,Massachusetts,01876,Residential (3 or fewer dwelling units per building),7/23/2013
5.52,Lowell,Massachusetts,01854,Residential (3 or fewer dwelling units per building),7/31/2013
2.4,Lowell,Massachusetts,01852,Residential (3 or fewer dwelling units per building),8/1/2013
2.64,Arlington,Massachusetts,02474,Residential (3 or fewer dwelling units per building),7/23/2013
6.24,Arlington,Massachusetts,02474,Residential (3 or fewer dwelling units per building),7/23/2013
5.28,Lowell,Massachusetts,01854,Residential (3 or fewer dwelling units per building),8/1/2013
5.52,Stoneham,Massachusetts,02180,Residential (3 or fewer dwelling units per building),7/23/2013
2.4,Arlington,Massachusetts,02474,Residential (3 or fewer dwelling units per building),7/23/2013
5.76,Stoneham,Massachusetts,02180,Residential (3 or fewer dwelling units per building),7/23/2013
7.2,Lexington,Massachusetts,02420,Residential (3 or fewer dwelling units per building),7/23/2013
5.28,Beverly,Massachusetts,01915,Residential (3 or fewer dwelling units per building),8/1/2013
3.12,Woburn,Massachusetts,01801,Residential (3 or fewer dwelling units per building),7/23/2013
3.84,Revere,Massachusetts,02151,Residential (3 or fewer dwelling units per building),7/25/2013
4.8,Lynn,Massachusetts,01902,Residential (3 or fewer dwelling units per building),8/2/2013
2.64,Arlington,Massachusetts,02474,Residential (3 or fewer dwelling units per building),7/23/2013
2.88,Arlington,Massachusetts,02474,Residential (3 or fewer dwelling units per building),7/23/2013
5.76,Arlington,Massachusetts,02474,Residential (3 or fewer dwelling units per building),7/23/2013
3.6,Saugus,Massachusetts,01906,Residential (3 or fewer dwelling units per building),8/2/2013
4.56,Woburn,Massachusetts,01801,Residential (3 or fewer dwelling units per building),7/23/2013
8.16,Stoneham,Massachusetts,02180,Residential (3 or fewer dwelling units per building),7/23/2013
4.8,Stoneham,Massachusetts,02180,Residential (3 or fewer dwelling units per building),7/23/2013
7.68,Stoneham,Massachusetts,02180,Residential (3 or fewer dwelling units per building),7/23/2013
3.84,Lowell,Massachusetts,01854,Residential (3 or fewer dwelling units per building),7/31/2013
4.8,Stoneham,Massachusetts,02180,Residential (3 or fewer dwelling units per building),7/23/2013
5.52,Lowell,Massachusetts,01851,Residential (3 or fewer dwelling units per building),8/1/2013
7.68,Arlington,Massachusetts,02476,Residential (3 or fewer dwelling units per building),7/24/2013
8.64,Stoneham,Massachusetts,02180,Residential (3 or fewer dwelling units per building),7/31/2013
5.76,Woburn,Massachusetts,01801,Residential (3 or fewer dwelling units per building),7/24/2013
3.84,Stoneham,Massachusetts,02180,Residential (3 or fewer dwelling units per building),7/24/2013
4.8,Arlington,Massachusetts,02474,Residential (3 or fewer dwelling units per building),7/24/2013
5.04,Woburn,Massachusetts,01801,Residential (3 or fewer dwelling units per building),7/24/2013
3.84,Revere,Massachusetts,02151,Residential (3 or fewer dwelling units per building),8/2/2013
3.6,Arlington,Massachusetts,02476,Residential (3 or fewer dwelling units per building),7/19/2013
3.84,Saugus,Massachusetts,01906,Residential (3 or fewer dwelling units per building),7/31/2013
8.16,Haverhill,Massachusetts,01832,Residential (3 or fewer dwelling units per building),7/24/2013
4.8,Arlington,Massachusetts,02476,Residential (3 or fewer dwelling units per building),7/24/2013
3.6,Arlington,Massachusetts,02476,Residential (3 or fewer dwelling units per building),7/31/2013
6,Woburn,Massachusetts,01801,Multi-family residential (4 or more dwelling units per building),7/24/2013
8.64,Woburn,Massachusetts,01801,Residential (3 or fewer dwelling units per building),7/31/2013
6.24,Woburn,Massachusetts,01801,Residential (3 or fewer dwelling units per building),7/8/2013
3.36,Woburn,Massachusetts,01801,Residential (3 or fewer dwelling units per building),7/31/2013
2.4,Arlington,Massachusetts,02474,Residential (3 or fewer dwelling units per building),7/26/2013
5.76,Burlington,Massachusetts,01803,Residential (3 or fewer dwelling units per building),7/31/2013
3.12,Woburn,Massachusetts,01801,Residential (3 or fewer dwelling units per building),7/24/2013
3.36,Burlington,Massachusetts,01803,Residential (3 or fewer dwelling units per building),7/23/2013
3.36,Burlington,Massachusetts,01803,Residential (3 or fewer dwelling units per building),7/23/2013
7.44,Billerica,Massachusetts,01862,Residential (3 or fewer dwelling units per building),7/23/2013
8.33,Haverhill,Massachusetts,01832,Residential (3 or fewer dwelling units per building),7/17/2013
8.16,Revere,Massachusetts,02151,Residential (3 or fewer dwelling units per building),7/30/2013
5.76,Winchester,Massachusetts,01890,Residential (3 or fewer dwelling units per building),7/2/2013
4.08,Lowell,Massachusetts,01852,Residential (3 or fewer dwelling units per building),8/6/2013
3.6,Dracut,Massachusetts,01826,Residential (3 or fewer dwelling units per building),8/9/2013
3.36,Saugus,Massachusetts,01906,Residential (3 or fewer dwelling units per building),8/9/2013
6,Methuen,Massachusetts,01844,Residential (3 or fewer dwelling units per building),8/13/2013
6,Dracut,Massachusetts,01826,Residential (3 or fewer dwelling units per building),8/9/2013
5.28,Lowell,Massachusetts,01854,Residential (3 or fewer dwelling units per building),8/13/2013
5.28,Chelmsford,Massachusetts,01824,Residential (3 or fewer dwelling units per building),8/1/2013
7.92,Beverly,Massachusetts,01915,Residential (3 or fewer dwelling units per building),8/6/2013
4.08,Lowell,Massachusetts,01854,Residential (3 or fewer dwelling units per building),8/9/2013
5.76,Lowell,Massachusetts,01854,Residential (3 or fewer dwelling units per building),8/6/2013
4.8,Medford,Massachusetts,02155,Residential (3 or fewer dwelling units per building),8/13/2013
6.72,Saugus,Massachusetts,01906,Residential (3 or fewer dwelling units per building),8/6/2013
2.88,Lowell,Massachusetts,01854,Residential (3 or fewer dwelling units per building),8/13/2013
6.96,Chelmsford,Massachusetts,01824,Residential (3 or fewer dwelling units per building),8/9/2013
4.32,Medford,Massachusetts,02155,Residential (3 or fewer dwelling units per building),8/14/2013
6.24,Chelmsford,Massachusetts,01863,Residential (3 or fewer dwelling units per building),8/9/2013
2.64,Arlington,Massachusetts,02476,Residential (3 or fewer dwelling units per building),7/24/2013
7.2,Saugus,Massachusetts,01906,Residential (3 or fewer dwelling units per building),8/6/2013
3.12,Saugus,Massachusetts,01906,Residential (3 or fewer dwelling units per building),8/13/2013
5.04,Tyngsborough,Massachusetts,01879,Residential (3 or fewer dwelling units per building),8/13/2013
2.16,Marlborough,Massachusetts,01752,Residential (3 or fewer dwelling units per building),7/30/2013
8.16,Haverhill,Massachusetts,01832,Residential (3 or fewer dwelling units per building),8/6/2013
5.28,Haverhill,Massachusetts,01832,Residential (3 or fewer dwelling units per building),8/6/2013
6.72,Chelmsford,Massachusetts,01824,Residential (3 or fewer dwelling units per building),8/13/2013
7.44,Woburn,Massachusetts,01801,Residential (3 or fewer dwelling units per building),8/12/2013
6,Burlington,Massachusetts,01803,Residential (3 or fewer dwelling units per building),8/12/2013
6.24,Haverhill,Massachusetts,01832,Residential (3 or fewer dwelling units per building),8/13/2013
6,Woburn,Massachusetts,01801,Residential (3 or fewer dwelling units per building),8/13/2013
5.52,Haverhill,Massachusetts,01832,Residential (3 or fewer dwelling units per building),8/13/2013
7.2,Haverhill,Massachusetts,01832,Residential (3 or fewer dwelling units per building),8/13/2013
7.2,Haverhill,Massachusetts,01832,Residential (3 or fewer dwelling units per building),8/13/2013
4.08,Lawrence,Massachusetts,01843,Residential (3 or fewer dwelling units per building),8/14/2013
4.08,Woburn,Massachusetts,01801,Residential (3 or fewer dwelling units per building),8/12/2013
6.72,Woburn,Massachusetts,01801,Residential (3 or fewer dwelling units per building),7/22/2013
2.88,Lowell,Massachusetts,01852,Residential (3 or fewer dwelling units per building),8/20/2013
6,Chelmsford,Massachusetts,01863,Residential (3 or fewer dwelling units per building),8/16/2013
4.08,Chelsea,Massachusetts,02150,Residential (3 or fewer dwelling units per building),8/19/2013
3.84,Woburn,Massachusetts,01801,Residential (3 or fewer dwelling units per building),8/19/2013
3.12,Dracut,Massachusetts,01826,Residential (3 or fewer dwelling units per building),8/15/2013
6,Revere,Massachusetts,02151,Residential (3 or fewer dwelling units per building),8/16/2013
4.08,Woburn,Massachusetts,01801,Residential (3 or fewer dwelling units per building),8/15/2013
7.92,Lexington,Massachusetts,02420,Residential (3 or fewer dwelling units per building),8/19/2013
6.96,Lowell,Massachusetts,01854,Residential (3 or fewer dwelling units per building),8/19/2013
4.08,Milford,Massachusetts,01757,Residential (3 or fewer dwelling units per building),8/15/2013
2.64,Saugus,Massachusetts,01906,Residential (3 or fewer dwelling units per building),8/15/2013
6.72,Woburn,Massachusetts,01801,Residential (3 or fewer dwelling units per building),8/15/2013
4.56,Boston,Massachusetts,02136,Residential (3 or fewer dwelling units per building),8/19/2013
3.36,Saugus,Massachusetts,01906,Residential (3 or fewer dwelling units per building),8/19/2013
4.08,Woburn,Massachusetts,01801,Residential (3 or fewer dwelling units per building),8/19/2013
1.92,Saugus,Massachusetts,01906,Residential (3 or fewer dwelling units per building),8/16/2013
4.08,Saugus,Massachusetts,01906,Residential (3 or fewer dwelling units per building),8/15/2013
6,Saugus,Massachusetts,01906,Residential (3 or fewer dwelling units per building),8/6/2013
6.96,Lowell,Massachusetts,01854,Residential (3 or fewer dwelling units per building),8/20/2013
4.32,Revere,Massachusetts,02151,Residential (3 or fewer dwelling units per building),8/16/2013
4.08,Woburn,Massachusetts,01801,Residential (3 or fewer dwelling units per building),8/20/2013
5.76,Lowell,Massachusetts,01854,Residential (3 or fewer dwelling units per building),8/16/2013
4.32,Revere,Massachusetts,02151,Residential (3 or fewer dwelling units per building),8/13/2013
9.84,Woburn,Massachusetts,01801,Residential (3 or fewer dwelling units per building),8/19/2013
4.32,Woburn,Massachusetts,01801,Residential (3 or fewer dwelling units per building),8/21/2013
3.84,Woburn,Massachusetts,01801,Residential (3 or fewer dwelling units per building),8/19/2013
7.92,Dracut,Massachusetts,01826,Residential (3 or fewer dwelling units per building),8/16/2013
4.08,Arlington,Massachusetts,02474,Residential (3 or fewer dwelling units per building),8/21/2013
5.52,Tyngsborough,Massachusetts,01879,Residential (3 or fewer dwelling units per building),8/16/2013
4.08,Woburn,Massachusetts,01801,Residential (3 or fewer dwelling units per building),8/19/2013
4.08,Haverhill,Massachusetts,01832,Residential (3 or fewer dwelling units per building),8/19/2013
2.4,Beverly,Massachusetts,01915,Residential (3 or fewer dwelling units per building),8/6/2013
3.6,Lowell,Massachusetts,01854,Residential (3 or fewer dwelling units per building),8/16/2013
4.32,Revere,Massachusetts,02151,Residential (3 or fewer dwelling units per building),8/22/2013
5.04,Woburn,Massachusetts,01801,Residential (3 or fewer dwelling units per building),8/19/2013
4.08,Burlington,Massachusetts,01803,Residential (3 or fewer dwelling units per building),8/19/2013
4.56,Haverhill,Massachusetts,01832,Residential (3 or fewer dwelling units per building),8/20/2013
7.68,Methuen,Massachusetts,01844,Residential (3 or fewer dwelling units per building),8/16/2013
6.48,Salem,Massachusetts,01970,Residential (3 or fewer dwelling units per building),8/16/2013
2.64,Billerica,Massachusetts,01862,Residential (3 or fewer dwelling units per building),8/6/2013
4.56,Haverhill,Massachusetts,01832,Residential (3 or fewer dwelling units per building),8/20/2013
1.44,Billerica,Massachusetts,01821,Residential (3 or fewer dwelling units per building),8/22/2013
6.72,Billerica,Massachusetts,01862,Residential (3 or fewer dwelling units per building),8/22/2013
3.6,Lexington,Massachusetts,02420,Residential (3 or fewer dwelling units per building),8/12/2013
4.8,Haverhill,Massachusetts,01832,Residential (3 or fewer dwelling units per building),8/19/2013
6,Billerica,Massachusetts,01862,Residential (3 or fewer dwelling units per building),8/22/2013
5.28,Haverhill,Massachusetts,01830,Residential (3 or fewer dwelling units per building),8/22/2013
8.16,Lynn,Massachusetts,01905,Residential (3 or fewer dwelling units per building),8/22/2013
5.28,Tyngsborough,Massachusetts,01879,Residential (3 or fewer dwelling units per building),8/22/2013
6.96,Billerica,Massachusetts,01862,Residential (3 or fewer dwelling units per building),8/22/2013
4.8,Dracut,Massachusetts,01826,Residential (3 or fewer dwelling units per building),8/22/2013
7.595,Haverhill,Massachusetts,01832,Residential (3 or fewer dwelling units per building),8/6/2013
5.39,Woburn,Massachusetts,01801,Residential (3 or fewer dwelling units per building),8/20/2013
65,Upton,Massachusetts,01526,Commercial / Office,8/16/2013
14.405,West Springfield,Massachusetts,01089,Residential (3 or fewer dwelling units per building),10/9/2013
8.625,Princeton,Massachusetts,01541,Residential (3 or fewer dwelling units per building),9/26/2013
73.3,Franklin,Massachusetts,01747,Other,8/30/2013
17.98,Weston,Massachusetts,02193,Residential (3 or fewer dwelling units per building),7/11/2013
208,Canton,Massachusetts,02021,Industrial,6/5/2013
325,Millbury,Massachusetts,01527,Commercial / Office,8/20/2013
48,Worcester,Massachusetts,01607,Commercial / Office,10/4/2013
470.25,Canton,Massachusetts,02021,School (K-12),8/7/2013
316.4,Canton,Massachusetts,02021,School (K-12),8/7/2013
1881.88,West Bridgewater,Massachusetts,02379,Commercial / Office,8/15/2013
501,Lancaster,Massachusetts,01523,Municipal / Government / Public,9/26/2013
70.07,Falmouth,Massachusetts,02540,Commercial / Office,9/27/2013
57.6,Chelsea,Massachusetts,02150,Multi-family residential (4 or more dwelling units per building),9/27/2013
8.829,Princeton,Massachusetts,01541,Residential (3 or fewer dwelling units per building),9/26/2013
4.14,Groton,Massachusetts,01450,Residential (3 or fewer dwelling units per building),8/26/2013
1.96,Mashpee,Massachusetts,02649,Residential (3 or fewer dwelling units per building),9/9/2013
2.76,Taunton,Massachusetts,02780,Residential (3 or fewer dwelling units per building),2/11/2012
4.25,Alford,Massachusetts,01230,Residential (3 or fewer dwelling units per building),8/29/2013
4.3,Chilmark,Massachusetts,02535,Residential (3 or fewer dwelling units per building),5/21/2013
4.41,Falmouth,Massachusetts,02536,Residential (3 or fewer dwelling units per building),7/23/2013
5.5,Southborough,Massachusetts,01772,Residential (3 or fewer dwelling units per building),9/23/2013
13.75,Westborough,Massachusetts,01581,Residential (3 or fewer dwelling units per building),9/23/2013
6.86,Methuen,Massachusetts,01844,Residential (3 or fewer dwelling units per building),9/23/2013
10.535,Methuen,Massachusetts,01844,Residential (3 or fewer dwelling units per building),9/30/2013
3.75,Sharon,Massachusetts,02067,Residential (3 or fewer dwelling units per building),9/25/2013
5.72,Northfield,Massachusetts,01360,Residential (3 or fewer dwelling units per building),9/24/2013
6.615,Salem,Massachusetts,01970,Residential (3 or fewer dwelling units per building),9/26/2013
9.31,Lexington,Massachusetts,02421,Residential (3 or fewer dwelling units per building),9/26/2013
6.615,Acton,Massachusetts,01720,Residential (3 or fewer dwelling units per building),9/25/2013
7.84,Framingham,Massachusetts,02472,Residential (3 or fewer dwelling units per building),9/25/2013
6.86,Franklin,Massachusetts,02038,Residential (3 or fewer dwelling units per building),9/25/2013
5.635,Arlington,Massachusetts,02476,Residential (3 or fewer dwelling units per building),9/26/2013
54.315,Pittsfield,Massachusetts,01201,Commercial / Office,9/30/2013
7,Arlington,Massachusetts,02476,Residential (3 or fewer dwelling units per building),9/23/2013
4.5,Arlington,Massachusetts,02476,Residential (3 or fewer dwelling units per building),10/2/2013
4.578,Arlington,Massachusetts,02476,Residential (3 or fewer dwelling units per building),9/20/2013
12.75,South Hadley,Massachusetts,01075,Residential (3 or fewer dwelling units per building),6/11/2013
8.415,Rochester,Massachusetts,02770,Residential (3 or fewer dwelling units per building),8/19/2013
5,Natick,Massachusetts,01760,Residential (3 or fewer dwelling units per building),9/9/2013
10,Framingham,Massachusetts,01701,Residential (3 or fewer dwelling units per building),8/9/2013
14.04,Westminster,Massachusetts,01473,Residential (3 or fewer dwelling units per building),8/15/2013
2.5,Framingham,Massachusetts,01701,Residential (3 or fewer dwelling units per building),6/26/2013
3.84,Stoneham,Massachusetts,02180,Residential (3 or fewer dwelling units per building),8/22/2013
4.9,Acton,Massachusetts,01720,Residential (3 or fewer dwelling units per building),10/8/2013
4.56,Andover,Massachusetts,01810,Residential (3 or fewer dwelling units per building),8/29/2013
8.88,Andover,Massachusetts,01810,Residential (3 or fewer dwelling units per building),8/16/2013
9.065,Andover,Massachusetts,01810,Residential (3 or fewer dwelling units per building),9/6/2013
6.72,Andover,Massachusetts,01810,Residential (3 or fewer dwelling units per building),9/24/2013
7.84,Andover,Massachusetts,01810,Residential (3 or fewer dwelling units per building),9/26/2013
4.08,Arlington,Massachusetts,02474,Residential (3 or fewer dwelling units per building),9/13/2013
6.24,Arlington,Massachusetts,02476,Residential (3 or fewer dwelling units per building),8/19/2013
4.32,Beverly,Massachusetts,01915,Residential (3 or fewer dwelling units per building),8/28/2013
6,Beverly,Massachusetts,01915,Residential (3 or fewer dwelling units per building),8/28/2013
6.125,Beverly,Massachusetts,01915,Residential (3 or fewer dwelling units per building),8/26/2013
5.28,Beverly,Massachusetts,01915,Residential (3 or fewer dwelling units per building),8/16/2013
9.6,Beverly,Massachusetts,01915,Residential (3 or fewer dwelling units per building),8/22/2013
6.96,Beverly,Massachusetts,01915,Residential (3 or fewer dwelling units per building),8/14/2013
5.145,Beverly,Massachusetts,01915,Residential (3 or fewer dwelling units per building),9/16/2013
4.32,Billerica,Massachusetts,01862,Residential (3 or fewer dwelling units per building),8/26/2013
6.96,Billerica,Massachusetts,01862,Residential (3 or fewer dwelling units per building),8/16/2013
6.24,Billerica,Massachusetts,01862,Residential (3 or fewer dwelling units per building),8/26/2013
6.48,Billerica,Massachusetts,01821,Residential (3 or fewer dwelling units per building),8/27/2013
6.24,Billerica,Massachusetts,01821,Residential (3 or fewer dwelling units per building),8/27/2013
4.32,Billerica,Massachusetts,01862,Residential (3 or fewer dwelling units per building),9/5/2013
2.205,Billerica,Massachusetts,01862,Residential (3 or fewer dwelling units per building),8/26/2013
3.6,Billerica,Massachusetts,01821,Residential (3 or fewer dwelling units per building),8/27/2013
5.88,Billerica,Massachusetts,01862,Residential (3 or fewer dwelling units per building),8/29/2013
6.24,Billerica,Massachusetts,01862,Residential (3 or fewer dwelling units per building),8/26/2013
3.43,Billerica,Massachusetts,01862,Residential (3 or fewer dwelling units per building),9/5/2013
4.165,Billerica,Massachusetts,01821,Residential (3 or fewer dwelling units per building),9/23/2013
2.45,Billerica,Massachusetts,01862,Residential (3 or fewer dwelling units per building),9/23/2013
3.6,Billerica,Massachusetts,01821,Residential (3 or fewer dwelling units per building),9/30/2013
4.165,Billerica,Massachusetts,01862,Residential (3 or fewer dwelling units per building),9/30/2013
3.185,Billerica,Massachusetts,01862,Residential (3 or fewer dwelling units per building),9/30/2013
4.655,Billerica,Massachusetts,01862,Residential (3 or fewer dwelling units per building),9/23/2013
4.08,Burlington,Massachusetts,01803,Residential (3 or fewer dwelling units per building),8/19/2013
9.12,Burlington,Massachusetts,01803,Residential (3 or fewer dwelling units per building),8/19/2013
5.635,Burlington,Massachusetts,01803,Residential (3 or fewer dwelling units per building),9/6/2013
